"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"PingEvent","0","0","0.0","0.0","3","0","0"
"InputRegistry","4","0","0.0","0.0","1","0","4"
"MessageEvent","0","0","0.0","0.0","4","0","0"
"RegistrationEvent","0","0","0.0","0.0","3","0","0"
