"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"HtmlBehaviorResource","0","0","0.0","0.0","1","0","0"
"View","0","0","0.0","0.0","1","0","0"
"Aurelia","0","0","1.0","1.5","5","0","4"
"FrameworkConfiguration","0","0","1.0","1.0588235294117647","2","0","19"
"Aurelia","1","1","0.6909090909090909","0.8636363636363636","11","0","6"
"FrameworkConfiguration","4","1","0.8995215311004785","0.9494949494949495","11","0","20"
"FrameworkPluginInfo","0","0","0.0","0.0","4","0","0"
"FrameworkPluginInfo","0","0","0.0","0.0","4","0","0"
