,link,files_count
0,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,12
1,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,4
2,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,8
3,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,9
4,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,9
5,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,12
